Wall time,Step,Value
1652957189.0158343,229,-1.1265705823898315
1652957189.5788732,305,-1.0304018259048462
1652957190.0805206,377,-0.9120509028434753
1652957195.1139882,1264,-2.892287254333496
1652957195.5473292,1324,-2.9886021614074707
1652957196.2453785,1455,-3.695340871810913
1652957196.7644808,1545,-4.109307289123535
1652957197.8354852,1717,-4.874283313751221
1652957198.8088152,1907,-5.814880847930908
1652957199.8982065,2114,-6.530372619628906
1652957201.1624835,2357,-7.549866676330566
1652957203.1554966,2687,-9.166778564453125
1652957204.655184,2976,-10.229676246643066
1652957206.5867271,3300,-11.79911994934082
1652957208.7096825,3667,-13.618989944458008
1652957210.7836764,4022,-15.158764839172363
1652957212.7683792,4366,-16.66094207763672
1652957214.8054082,4722,-18.270933151245117
1652957216.818335,5068,-19.873998641967773
1652957218.788893,5412,-21.487401962280273
1652957220.8200088,5759,-22.905366897583008
1652957222.8711736,6090,-24.474231719970703
1652957224.7611372,6426,-25.770259857177734
1652957226.770299,6816,-27.2543888092041
1652957228.9658816,7152,-28.705055236816406
1652957231.768904,7679,-31.002975463867188
1652957234.0169175,7933,-32.37925338745117
1652957236.7094808,8439,-34.648216247558594
1652957239.5943236,8939,-37.29110336303711
1652957242.5125954,9439,-39.77338409423828
1652957245.4163,9942,-42.25792694091797
1652957248.2441561,10427,-44.19056701660156
1652957251.0706582,10913,-46.319278717041016
1652957253.8746252,11397,-48.572227478027344
1652957256.6920092,11880,-50.81087875366211
1652957259.465797,12360,-52.6832160949707
1652957262.2719867,12851,-54.95366668701172
1652957265.211138,13344,-56.59271240234375
1652957268.022139,13833,-58.31201171875
1652957270.8452463,14317,-59.71626281738281
1652957273.6823616,14849,-61.643524169921875
1652957276.7210588,15336,-63.45082092285156
1652957279.5925825,15832,-64.9578857421875
1652957282.6195984,16336,-66.75701141357422
1652957285.187465,16741,-68.90509033203125
1652957287.5925283,17160,-70.08103942871094
1652957292.1123066,17844,-71.60556030273438
1652957292.767388,17955,-72.20390319824219
1652957293.6231987,18184,-72.79265594482422
1652957297.1482952,18936,-73.55857849121094
1652957302.7982492,19812,-75.64573669433594
1652957307.1478128,20597,-77.57091522216797
1652957312.6356866,21555,-79.41719055175781
1652957317.0321012,22241,-81.10963439941406
1652957321.5017571,22972,-82.78052520751953
1652957324.8475807,23424,-84.35697174072266
1652957326.398402,23764,-84.69837951660156
1652957328.845486,24188,-86.37998962402344
1652957332.3741293,24821,-87.8964614868164
1652957335.2409267,25293,-89.23817443847656
1652957338.0192504,25733,-90.38806915283203
1652957340.6843307,26190,-91.82633972167969
1652957343.2077596,26603,-92.2778091430664
1652957345.7165608,27021,-93.62164306640625
1652957348.2374053,27435,-95.20527648925781
1652957350.6021645,27858,-95.64637756347656
1652957353.0544703,28264,-96.6681900024414
1652957355.5002015,28681,-98.08415985107422
1652957358.0564525,29117,-98.3556137084961
1652957360.660308,29572,-99.11322784423828
1652957363.453833,30053,-100.00756072998047
1652957366.3167865,30536,-99.81656646728516
1652957369.1922219,31029,-101.34706115722656
1652957372.0064304,31505,-102.140869140625
1652957374.7952325,31979,-103.56865692138672
1652957377.5871212,32452,-104.37454223632812
1652957380.1573691,32872,-105.47086334228516
1652957382.590098,33288,-106.76546478271484
1652957385.0813484,33713,-106.87824249267578
1652957387.6760352,34153,-106.8722915649414
1652957390.179875,34571,-107.4715805053711
1652957392.7939222,35032,-107.7490234375
1652957395.4800441,35483,-108.64848327636719
1652957398.162308,35936,-108.31792449951172
1652957401.6055756,36441,-109.12037658691406
1652957404.6428978,36932,-110.10861206054688
1652957407.668206,37448,-109.78173065185547
1652957410.6308692,37951,-111.00716400146484
1652957413.6301448,38455,-111.54251861572266
1652957416.6760495,38983,-110.32725524902344
1652957419.8635669,39514,-111.68756103515625
1652957423.038288,40031,-110.79558563232422
1652957426.1209009,40548,-111.86576843261719
1652957429.0754795,41043,-111.77828216552734
1652957432.3292813,41609,-112.70204162597656
1652957435.6628687,42139,-113.42631530761719
1652957438.7938368,42661,-114.00578308105469
1652957441.9964697,43229,-113.10835266113281
1652957445.5731053,43782,-114.25531005859375
1652957449.234591,44403,-114.26815032958984
1652957452.3807802,44913,-114.38681030273438
1652957455.4749455,45426,-115.17623901367188
1652957458.3719697,45890,-115.13863372802734
1652957461.1799066,46341,-114.93246459960938
1652957464.0333369,46786,-114.70500946044922
1652957466.9104354,47246,-115.34992218017578
1652957470.0814369,47756,-115.62406158447266
1652957473.5245774,48303,-114.54077911376953
1652957477.2140381,48903,-115.6772689819336
1652957481.0718708,49485,-115.68167114257812
1652957484.678291,50029,-115.485107421875
1652957488.3233156,50581,-115.00323486328125
1652957491.6958413,51087,-112.70345306396484
1652957495.0560632,51603,-114.7936782836914
1652957498.377932,52100,-114.65127563476562
1652957501.6404028,52584,-113.9361572265625
1652957504.8275425,53065,-113.63325500488281
1652957508.247351,53573,-113.76496887207031
1652957511.5200644,54062,-113.56295013427734
1652957514.8080435,54557,-112.69721984863281
1652957518.220169,55067,-112.69097900390625
1652957521.647829,55563,-113.54570007324219
1652957524.9638095,56069,-113.04727935791016
1652957528.3348064,56544,-113.42455291748047
1652957531.464235,56991,-112.50819396972656
1652957534.5671113,57457,-112.54229736328125
1652957537.8213406,57904,-111.4301528930664
1652957540.2333875,58282,-112.6683578491211
1652957543.2404215,58735,-113.15931701660156
