Wall time,Step,Value
1652954321.854391,170,-1.191049337387085
1652954322.5100157,260,-1.696150541305542
1652954323.14891,347,-2.156553268432617
1652954323.711232,437,-2.514359951019287
1652954324.2416928,526,-2.887583017349243
1652954324.7473886,615,-3.224290370941162
1652954325.2267342,724,-3.412111282348633
1652954325.902335,813,-3.723802328109741
1652954326.3372903,874,-4.101328372955322
1652954327.2538989,1094,-4.199657440185547
1652954328.932392,1382,-5.225504398345947
1652954330.6496563,1670,-6.3630876541137695
1652954332.2636857,1951,-7.360451698303223
1652954333.9254622,2249,-8.323220252990723
1652954335.6462727,2549,-9.402250289916992
1652954337.551302,2883,-10.571846008300781
1652954339.445095,3210,-11.720062255859375
1652954341.402825,3534,-12.832858085632324
1652954343.3575568,3860,-13.95562744140625
1652954345.2518232,4198,-15.026333808898926
1652954347.173757,4528,-16.159183502197266
1652954349.0333848,4847,-17.2624568939209
1652954351.011213,5185,-18.288612365722656
1652954352.912719,5520,-19.381607055664062
1652954354.828513,5854,-20.443031311035156
1652954356.6076045,6141,-21.412233352661133
1652954358.4794967,6462,-22.21552085876465
1652954360.3463216,6782,-23.206754684448242
1652954362.2467697,7101,-23.996370315551758
1652954364.0349529,7423,-24.848588943481445
1652954365.6501117,7673,-25.510095596313477
1652954367.3238292,7984,-26.390413284301758
1652954369.3008482,8331,-27.22981071472168
1652954371.2941916,8686,-28.139753341674805
1652954373.2298179,9011,-28.919160842895508
1652954375.07399,9341,-29.48777198791504
1652954377.0076551,9674,-30.416152954101562
1652954378.7802079,9968,-31.26313018798828
1652954380.5627577,10266,-31.595468521118164
1652954382.1997144,10561,-32.53022766113281
1652954383.8024087,10852,-33.05432891845703
1652954385.6976173,11171,-33.93317794799805
1652954387.5067525,11474,-34.76237106323242
1652954389.2519677,11779,-35.33592987060547
1652954390.9171884,12072,-35.85258483886719
1652954392.6369905,12366,-36.14540481567383
1652954394.2465296,12644,-37.16288375854492
1652954396.0045924,12950,-37.36847686767578
1652954397.7399807,13250,-38.365482330322266
1652954399.3159256,13519,-38.621402740478516
1652954400.994776,13800,-39.36349868774414
1652954402.7627332,14098,-39.60335922241211
1652954404.3613353,14362,-40.699615478515625
1652954405.98086,14647,-41.2490348815918
1652954407.8021476,14976,-42.350929260253906
1652954409.686685,15276,-43.03549575805664
1652954411.8665931,15678,-43.66655731201172
1652954414.128202,16057,-43.719181060791016
1652954416.6504056,16475,-44.76377868652344
1652954418.8852794,16835,-45.484657287597656
1652954421.2064996,17255,-46.67850875854492
1652954423.7939842,17683,-46.89726257324219
1652954425.9502833,18038,-47.61818313598633
1652954428.4985955,18483,-48.52986526489258
1652954430.8744771,18884,-48.901390075683594
1652954433.2800176,19284,-49.173187255859375
1652954435.728949,19696,-50.0668830871582
1652954438.293003,20150,-51.066646575927734
1652954441.01163,20590,-52.031856536865234
1652954443.644967,21039,-52.239784240722656
1652954446.2230875,21474,-52.66100311279297
1652954448.7136972,21888,-53.8719596862793
1652954451.159278,22301,-54.0765495300293
1652954453.5116,22705,-54.728843688964844
1652954456.1187375,23138,-55.4674072265625
1652954458.7923717,23608,-56.20558166503906
1652954461.511319,24074,-56.8542366027832
1652954464.3870866,24536,-57.50714111328125
1652954467.0756545,25019,-58.28891372680664
1652954469.9631655,25514,-59.641693115234375
1652954472.8740366,26011,-60.30921173095703
1652954475.8234944,26508,-61.210472106933594
1652954478.7719874,27019,-62.32456970214844
1652954481.6851923,27508,-62.72572708129883
1652954484.573144,27989,-63.636226654052734
1652954487.4218423,28476,-64.00770568847656
1652954490.3046348,28968,-65.15785217285156
1652954493.1368845,29456,-66.14327239990234
1652954496.252023,29996,-66.89844512939453
1652954499.2009845,30504,-67.7393798828125
1652954502.283174,31025,-68.19593048095703
1652954505.3472023,31560,-68.84907531738281
1652954508.2843287,32056,-70.26895141601562
1652954511.1309106,32528,-70.45836639404297
1652954513.7840395,33000,-71.37005615234375
1652954516.7562666,33500,-72.65608215332031
1652954520.162555,34125,-73.61371612548828
1652954523.9170995,34718,-74.95783233642578
1652954526.7460675,35183,-76.248046875
1652954529.7518322,35705,-76.99530029296875
1652954532.8194258,36221,-77.95382690429688
1652954535.7328534,36722,-78.33061981201172
1652954539.076349,37316,-79.73007202148438
1652954542.5894756,37927,-81.35588073730469
1652954546.4885678,38588,-82.4748764038086
1652954550.0631325,39229,-84.10784912109375
1652954554.2234805,39885,-85.78582000732422
1652954558.1829247,40569,-87.09130096435547
1652954561.949847,41172,-88.57782745361328
1652954566.3208494,41889,-89.95231628417969
