#{"t_start": 1654140467.9050627, "env_id": "Hopper-v3"}
r,l,t
531.373596,171,0.097587
383.717685,144,0.179184
366.148481,133,0.253824
607.541163,184,0.35755
589.179328,200,0.470968
525.893418,169,0.566872
588.481272,180,0.668562
398.788454,147,0.75104
529.440547,165,0.844334
484.826816,160,0.934898
536.974115,165,1.028913
503.741355,164,1.121855
594.048401,188,1.22836
624.457436,190,1.33466
614.845502,197,1.444873
567.679788,175,1.543971
575.35434,202,1.657796
541.758115,167,1.751949
391.519403,136,1.828984
345.768583,136,1.905899
586.319026,198,2.017114
563.124663,171,2.113939
583.3482,205,2.229101
730.035192,225,2.35505
564.143,209,2.471858
377.562916,137,2.549756
313.722404,127,2.620992
370.362209,136,2.697585
478.418357,156,2.785419
418.161698,144,2.866817
322.932316,124,2.936939
627.084163,204,3.051935
482.948395,157,3.140777
626.196937,234,3.271175
556.302557,174,3.369579
618.098278,192,3.477981
628.583563,181,3.580954
605.228694,183,3.684877
510.460032,156,3.772482
629.1193,191,3.880384
564.714428,187,3.986093
621.048474,216,4.107551
638.470515,198,4.219285
663.434752,234,4.350057
592.964109,195,4.46004
719.796473,245,4.598676
593.894883,190,4.706452
526.345284,204,4.821417
636.34672,221,4.946074
508.835673,169,5.042073
373.477664,130,5.116249
537.36176,182,5.220026
704.51254,228,5.348299
457.927534,153,5.434515
574.524945,193,5.54308
559.55953,175,5.641991
514.663036,179,5.742327
377.051402,132,5.816456
643.960039,206,5.932808
865.085704,294,6.099495
604.434058,178,6.200668
383.43646,149,6.283695
512.43997,179,6.384434
484.511664,166,6.477809
374.719246,135,6.554135
700.010205,237,6.688454
571.66851,187,6.792887
635.581236,210,6.91164
572.656018,188,7.01819
475.196912,155,7.105544
632.365894,214,7.226541
379.733537,165,7.319742
608.98766,213,7.43974
609.317361,202,7.553896
434.233648,169,7.649225
236.426758,107,7.70926
622.109462,202,7.822648
734.614984,228,7.951474
394.752916,161,8.042277
530.309265,184,8.14567
543.765266,184,8.249069
672.126592,199,8.360756
965.646913,306,8.533783
843.133904,275,8.689172
650.611489,223,8.814712
555.225339,172,8.912031
597.037651,190,9.01961
568.514892,194,9.129241
630.50091,191,9.236856
628.710668,184,9.339937
546.007983,172,9.437467
519.580074,160,9.527669
515.278988,180,9.630064
696.637538,223,9.755876
660.535934,221,9.880868
589.025601,189,9.987717
609.364125,192,10.096908
535.949765,185,10.201516
573.116256,173,10.298283
472.78461,166,10.391706
175.036341,93,10.461081
762.969167,260,10.606825
540.9532,178,10.706986
388.267856,148,10.789885
330.105634,147,10.872829
626.380434,190,10.979904
660.157003,211,11.098269
745.100763,273,11.251482
678.243924,243,11.388108
592.779608,187,11.493781
