#{"t_start": 1654098394.9601083, "env_id": "Hopper-v3"}
r,l,t
301.691098,137,0.061966
301.846134,140,0.124841
306.250015,140,0.210898
296.623663,137,0.312186
296.018052,136,0.382992
307.852061,137,0.445293
305.421182,135,0.51037
303.31489,135,0.572068
302.112567,141,0.642353
294.049426,136,0.705642
1279.460934,493,0.932918
1091.237171,377,1.103639
2405.066184,817,1.468237
2519.138303,1000,1.919878
2493.648988,1000,2.368964
2442.339798,1000,2.820303
2566.718057,1000,3.270189
850.690419,321,3.414401
961.218714,298,3.548077
800.309088,256,3.66258
488.424413,182,3.7444
493.452349,187,3.827992
426.835316,163,3.900809
409.105105,164,3.974097
363.622448,147,4.039758
311.15851,137,4.101198
434.011892,164,4.174795
476.912655,180,4.255943
424.882614,161,4.327654
330.439798,143,4.391578
713.852249,226,4.494026
550.615808,176,4.573566
554.390932,179,4.654046
537.141146,175,4.733079
550.091981,177,4.813025
753.539335,236,4.919641
783.70832,238,5.026487
530.517323,172,5.104649
522.74249,168,5.180903
814.290683,252,5.295216
426.268556,180,5.37655
621.469685,219,5.475005
426.581931,180,5.556134
555.595374,202,5.646263
742.899756,253,5.759534
441.178728,171,5.836137
673.16968,234,5.940151
952.779375,315,6.081013
608.867606,217,6.177671
683.201376,240,6.285256
826.990321,259,6.40134
850.328619,272,6.524467
997.310298,318,6.666381
903.402689,289,6.796666
1022.284683,328,6.943566
1005.941672,319,7.087292
781.753836,254,7.202198
813.32162,257,7.318424
1021.621813,330,7.466922
828.33229,261,7.584993
366.313601,170,7.661384
357.108255,164,7.734838
629.400974,284,7.861582
363.568694,167,7.936597
393.685461,180,8.017412
387.651164,180,8.098676
393.951581,183,8.181084
384.079635,175,8.25919
362.587364,166,8.334046
388.99967,175,8.412396
1063.36187,349,8.568847
855.820937,283,8.695491
643.76113,222,8.794541
1062.307284,355,8.952649
614.020035,213,9.048304
931.827435,292,9.178566
587.491109,205,9.270769
587.903527,203,9.361444
1058.056173,368,9.5261
869.007917,286,9.65424
366.13317,153,9.723424
375.130938,156,9.793609
314.958289,142,9.857867
360.121902,153,9.926486
517.100636,196,10.014569
329.358455,146,10.080382
295.594975,130,10.13885
260.13146,120,10.193164
380.570627,157,10.263412
333.967942,146,10.329366
1474.259527,604,10.600853
1280.141078,516,10.831712
1947.771947,1000,11.279739
1549.259369,1000,11.729874
1210.399036,519,11.96038
1621.426518,658,12.254897
1068.200701,433,12.448648
2138.233219,913,12.857473
1136.221871,468,13.067684
1014.50363,365,13.231166
414.48929,164,13.405571
415.906488,161,13.477281
470.139294,178,13.557314
287.572718,133,13.617534
376.128265,151,13.685399
424.164867,160,13.757169
430.91262,164,13.8307
416.304499,162,13.903887
459.18224,174,13.982063
456.875928,175,14.060888
