#{"t_start": 1654094019.7917871, "env_id": "Hopper-v3"}
r,l,t
2134.738285,662,0.340955
936.499268,309,0.52985
1663.162468,524,0.853732
1227.231517,387,1.036446
2104.189196,627,1.324157
1222.867315,387,1.499905
1790.993787,563,1.755974
3070.178342,936,2.181632
1973.335174,604,2.457334
953.881696,307,2.59695
1532.328304,490,2.821026
908.343909,283,2.949571
2556.685825,1000,3.41082
1531.165903,487,3.635149
2550.598154,1000,4.094635
2161.071884,718,4.423283
2052.784033,668,4.728971
2512.538903,844,5.115351
1456.472935,455,5.323343
1356.160622,426,5.516141
1778.205908,633,5.806492
2692.816725,1000,6.262866
2761.234122,939,6.691657
2750.3822,1000,7.148158
2730.799919,1000,7.603744
1941.114114,691,7.918762
985.337655,317,8.062804
833.665106,275,8.188065
1874.245482,643,8.481004
2776.596843,1000,8.937399
759.43528,257,9.054308
885.946979,277,9.17869
909.706639,284,9.307722
529.814776,204,9.401086
685.401546,252,9.516358
576.050289,204,9.609239
463.045683,176,9.689945
757.083038,255,9.806366
1083.965081,339,9.960325
460.009348,175,10.039987
695.80516,220,10.140081
735.851336,229,10.244455
757.110762,237,10.352654
690.843683,218,10.45267
719.71042,226,10.556604
657.359251,211,10.653458
727.192701,227,10.75731
676.947463,216,10.856161
679.524755,216,10.954358
691.382341,218,11.054358
747.047109,233,11.160998
866.750289,291,11.293943
608.613455,207,11.388555
793.040973,262,11.506929
754.745087,234,11.613579
974.575866,376,11.784681
362.729023,146,11.851452
296.63306,125,11.908346
1026.551465,382,12.080542
730.99935,238,12.189097
1188.935785,367,12.356661
933.101163,288,12.487772
1208.567771,371,12.656775
1563.535952,477,12.876064
3069.550309,912,13.292912
2009.397363,600,13.566559
1494.443351,452,13.772229
1252.818308,387,13.947072
2083.571207,626,14.230544
547.387463,178,14.31169
316.774969,145,14.377594
340.123257,137,14.439417
378.314838,150,14.50685
311.565701,141,14.571339
308.556308,129,14.629761
295.045189,121,14.684732
502.334129,177,14.764706
308.120114,129,14.823512
317.994877,130,14.88266
300.489788,123,14.937418
1397.915315,441,15.137042
1647.791479,517,15.372961
1660.85996,520,15.609162
2755.360313,846,15.994554
1864.508244,572,16.254653
2497.524787,762,16.600875
1641.621382,516,16.834896
1561.77074,488,17.057178
1948.337653,604,17.332201
2527.691571,775,17.686106
1117.897976,357,17.849541
1114.161967,358,18.012259
901.113112,295,18.147049
2023.36225,646,18.440667
1030.328114,334,18.592896
898.756076,297,18.72834
897.887206,296,18.863111
924.99953,301,19.000155
1209.706743,385,19.174957
1090.393908,349,19.33359
1888.000916,592,19.785257
1682.119733,522,20.024945
1803.245913,563,20.283016
1685.681004,528,20.524416
2452.597076,751,20.866222
1661.220463,516,21.102253
1729.496432,541,21.35005
1872.736731,588,21.618491
1698.716014,534,21.86152
1638.469106,510,22.094949
