Wall time,Step,Value
1652964516.682857,258,0.03577634319663048
1652964518.34846,525,0.056807100772857666
1652964519.7312899,793,0.18922436237335205
1652964521.878892,1199,-0.15775837004184723
1652964524.0724194,1774,-1.03032386302948
1652964528.5793192,2558,-2.0035247802734375
1652964532.4670386,3288,-2.4643712043762207
1652964536.602039,4035,-3.632192373275757
1652964540.8536143,4822,-4.185889720916748
1652964545.4403918,5724,-4.865924835205078
1652964549.8390923,6494,-7.10630464553833
1652964553.9475224,7243,-8.342453956604004
1652964558.9042642,8172,-9.608412742614746
1652964563.404769,8974,-10.457310676574707
1652964567.7446527,9897,-11.539566040039062
1652964573.9396758,10971,-13.426630020141602
1652964578.2762177,11683,-14.017143249511719
1652964582.241827,12423,-14.874082565307617
1652964585.7234232,13110,-15.17837905883789
1652964589.1778843,13696,-15.643872261047363
1652964593.000253,14379,-15.877223014831543
1652964595.5768836,14778,-18.295440673828125
1652964597.2414584,15101,-19.03137969970703
1652964598.9277773,15393,-20.307636260986328
1652964600.5415418,15705,-20.69122314453125
1652964602.2744377,16018,-21.473878860473633
1652964603.8946364,16311,-23.425256729125977
1652964605.5733984,16627,-24.021400451660156
1652964607.2431417,16927,-24.86210823059082
1652964608.8549933,17226,-25.675037384033203
1652964610.5242393,17522,-27.224992752075195
1652964612.1948056,17821,-28.770301818847656
1652964613.6113987,18069,-29.4865779876709
1652964615.2435458,18416,-30.76294708251953
1652964617.5270638,18804,-31.325946807861328
1652964620.2277842,19283,-33.40436553955078
1652964622.370244,19785,-34.49073791503906
1652964625.0882666,20192,-35.11492156982422
1652964627.453835,20639,-36.04133605957031
1652964629.9577315,21104,-35.902076721191406
1652964632.3146565,21542,-37.83798599243164
1652964635.966759,22212,-37.27302932739258
1652964638.3868673,22760,-37.48569869995117
1652964641.554177,23266,-38.2659797668457
1652964644.195037,23800,-38.34804153442383
1652964646.6713908,24241,-39.302894592285156
1652964649.7856824,24774,-39.94099807739258
1652964652.4904544,25325,-41.12718963623047
1652964655.7288394,25909,-41.2455940246582
1652964658.960258,26486,-43.260765075683594
1652964662.0776958,27113,-44.570255279541016
1652964665.9502537,27897,-45.99169921875
1652964668.9821851,28373,-47.000919342041016
1652964671.7411842,28897,-48.09197235107422
1652964675.5204406,29591,-48.90845489501953
1652964678.8720226,30234,-50.187782287597656
1652964682.4737456,30955,-50.76188659667969
1652964686.0601823,31587,-51.686805725097656
1652964689.6503098,32299,-53.13277053833008
1652964692.7067742,32823,-53.64288330078125
1652964696.3282495,33492,-55.07946014404297
1652964700.1778073,34253,-55.43260955810547
1652964703.8655012,34900,-57.19416046142578
1652964706.6823907,35427,-57.98957061767578
1652964709.4979706,35910,-58.62938690185547
1652964712.0862756,36359,-60.293983459472656
1652964714.963615,36921,-61.68719482421875
1652964718.3604348,37577,-62.7630729675293
1652964721.4495265,38095,-63.260108947753906
1652964723.4797761,38455,-64.65599822998047
1652964725.5327125,38833,-63.32506561279297
1652964727.244777,39145,-64.22874450683594
1652964729.0832996,39486,-64.699951171875
1652964731.8000052,40041,-64.35457611083984
1652964734.8758016,40643,-64.45662689208984
1652964738.5566943,41395,-64.75870513916016
1652964741.2298923,41825,-64.29700469970703
1652964743.5720673,42184,-64.19267272949219
1652964746.06986,42663,-64.3278579711914
1652964748.9909725,43240,-64.17539978027344
1652964753.9976094,44156,-63.39847946166992
1652964757.232194,44838,-63.26796340942383
1652964762.0814698,45723,-63.224761962890625
1652964767.1437044,46619,-64.49513244628906
1652964773.6748202,48068,-65.05048370361328
1652964779.8548014,49100,-65.32592010498047
1652964787.2459233,50257,-66.48834228515625
1652964794.008591,51793,-66.85330963134766
1652964809.3508759,54063,-68.47169494628906
1652964813.347033,54863,-68.96559143066406
1652964818.2132514,55683,-70.23672485351562
1652964822.8213232,56428,-70.3447036743164
1652964827.7553372,57264,-71.854736328125
1652964833.8979802,58246,-73.06490325927734
1652964838.7035823,59053,-73.42301177978516
1652964844.4644,60351,-75.0676040649414
1652964852.719071,61398,-77.06858825683594
1652964858.7135088,62370,-78.367431640625
1652964865.5720584,63562,-78.6406478881836
1652964871.2527714,64402,-80.85800170898438
1652964878.4889455,65561,-82.42911529541016
1652964885.3836298,66906,-83.37049102783203
1652964891.8368773,67808,-84.8345947265625
1652964898.8028493,68867,-85.64877319335938
1652964905.5458124,69841,-86.15870666503906
1652964910.0281804,70476,-87.26813507080078
1652964915.0759802,71211,-88.40816497802734
1652964920.113318,71977,-90.11390686035156
1652964924.4060512,72610,-90.05287170410156
1652964929.6398988,73306,-91.82002258300781
1652964934.090696,73868,-91.50486755371094
1652964939.7098343,74674,-90.96570587158203
1652964945.1975155,75457,-92.08181762695312
1652964951.263511,76231,-92.96963500976562
1652964956.285081,76901,-91.93561553955078
1652964962.521932,77739,-91.2194595336914
1652964971.240595,78719,-90.68975830078125
1652964976.51515,79515,-89.90727996826172
1652964982.530593,80262,-88.47138977050781
1652964992.782131,81492,-87.5488510131836
1652964999.5513933,82389,-86.10968780517578
1652965008.0409539,83476,-85.60901641845703
1652965015.2834668,84385,-85.21517944335938
1652965022.4426987,85177,-84.71499633789062
1652965029.7259867,86171,-84.06103515625
1652965038.195956,87180,-83.4012680053711
1652965046.6713,88360,-83.56554412841797
1652965056.4872887,89311,-83.25558471679688
1652965068.2485929,90870,-83.61542510986328
1652965076.3863785,92301,-84.34062194824219
1652965088.363816,93269,-84.83014678955078
1652965097.7199123,94447,-86.07813262939453
1652965106.5682762,95450,-86.40963745117188
1652965113.1108086,96292,-85.94612884521484
1652965123.2693691,97429,-86.67557525634766
1652965130.1636212,98276,-86.83258056640625
1652965143.7676897,99920,-88.00270080566406
