Wall time,Step,Value
1652962488.1310673,500,-0.047951146960258484
1652962489.514988,768,0.08907578885555267
1652962490.949748,1035,0.14367365837097168
1652962492.3942106,1303,0.30198898911476135
1652962493.8781657,1572,0.3709762394428253
1652962495.3548427,1839,0.5305297374725342
1652962496.8268447,2106,0.7510620951652527
1652962498.2916574,2373,0.7488093972206116
1652962499.7578893,2640,0.9600005745887756
1652962501.2169614,2906,1.0746417045593262
1652962502.6786458,3165,1.2860853672027588
1652962503.764244,3328,0.6802136898040771
1652962504.221355,3416,0.7022611498832703
1652962506.1761885,3906,-0.012080295011401176
1652962511.544297,5014,-1.309602975845337
1652962515.6962674,5632,-3.1103579998016357
1652962519.3028853,6327,-3.928654193878174
1652962523.5103154,7149,-4.733982563018799
1652962528.5514572,7992,-5.648324966430664
1652962531.9256046,8543,-8.517545700073242
1652962534.0679471,8931,-10.794818878173828
1652962536.6294353,9438,-12.448007583618164
1652962540.7481883,10212,-14.40644645690918
1652962544.5572083,10865,-16.228425979614258
1652962547.2818468,11385,-17.85396385192871
1652962550.2617228,11924,-19.674272537231445
1652962552.7391367,12339,-21.26116180419922
1652962556.023391,12933,-22.96126937866211
1652962558.8106894,13473,-24.849300384521484
1652962561.622382,13942,-27.094141006469727
1652962564.1037436,14421,-27.697649002075195
1652962566.9206007,14954,-29.63496971130371
1652962569.8112998,15495,-31.282333374023438
1652962573.3933,16149,-32.86940383911133
1652962576.6429286,16754,-34.98778533935547
1652962580.3112087,17441,-36.37038040161133
1652962584.636159,18294,-38.5770149230957
1652962588.862251,18989,-40.898773193359375
1652962593.2140696,19740,-42.844791412353516
1652962597.423693,20629,-44.11428451538086
1652962601.9040132,21356,-46.69816589355469
1652962605.8755157,22092,-48.64931106567383
1652962610.0906284,22825,-50.34638595581055
1652962614.2246945,23645,-51.947269439697266
1652962618.3175716,24385,-54.574581146240234
1652962622.6466963,25213,-56.38312530517578
1652962626.9204204,25953,-58.456886291503906
1652962631.0034573,26670,-60.08380126953125
1652962634.221376,27229,-62.2242546081543
1652962638.0435805,27983,-64.1711196899414
1652962641.9949036,28606,-65.4525375366211
1652962646.1277373,29329,-67.5334243774414
1652962649.8265944,29968,-69.71668243408203
1652962653.4340093,30664,-69.68672180175781
1652962656.9737267,31259,-71.36754608154297
1652962660.5388331,31913,-72.9503402709961
1652962664.3202188,32569,-73.80772399902344
1652962667.8908212,33218,-74.7137222290039
1652962673.5429344,34259,-77.42369842529297
1652962678.321944,35145,-78.98849487304688
1652962684.2399106,36149,-80.078857421875
1652962688.7431989,36993,-82.1230697631836
1652962693.2523425,37703,-83.43838500976562
1652962696.5973136,38295,-84.2905044555664
1652962700.397069,38995,-86.00389862060547
1652962706.1572676,39995,-86.92543029785156
1652962710.2697058,40689,-88.15503692626953
1652962713.5617661,41255,-88.85755157470703
1652962718.1177897,42180,-90.20806884765625
1652962723.3334126,43113,-91.94340515136719
1652962729.2189705,44187,-93.56294250488281
1652962735.0126839,45113,-95.53988647460938
1652962739.5855641,45936,-97.5347900390625
1652962744.4079492,46768,-98.86027526855469
1652962748.7453918,47585,-100.41752624511719
1652962753.9339764,48408,-101.52149200439453
1652962757.9517102,49188,-102.99713134765625
1652962762.8330426,49927,-105.2213134765625
1652962765.9883664,50456,-105.3965835571289
1652962769.9873226,51132,-106.08179473876953
1652962774.7987154,51930,-107.63738250732422
1652962781.0077963,52964,-109.30549621582031
1652962785.8065455,53736,-109.51942443847656
1652962790.4002895,54513,-111.27556610107422
1652962796.1587417,55456,-112.07503509521484
1652962801.2026935,56250,-113.23566436767578
1652962805.9050608,57081,-114.5456314086914
1652962811.9337382,57933,-115.50252532958984
1652962816.3378174,58638,-116.39820861816406
1652962821.704842,59503,-117.6241226196289
1652962827.660206,60406,-119.01206970214844
1652962833.8819969,61424,-120.28933715820312
1652962838.952922,62169,-120.25074768066406
1652962846.482432,63464,-121.35343933105469
1652962853.9751275,64512,-123.51229858398438
1652962860.7445962,65507,-125.24225616455078
1652962867.3357286,66433,-125.88349914550781
1652962874.1803875,67527,-127.09965515136719
1652962880.3256052,68464,-129.19883728027344
1652962887.6335173,69480,-130.17369079589844
1652962895.3636992,70591,-131.98074340820312
1652962902.2552836,71569,-133.65899658203125
1652962909.7551746,72638,-134.02947998046875
1652962918.472797,73807,-136.00613403320312
1652962927.6541734,74925,-136.8897705078125
1652962936.8416238,76016,-138.38330078125
1652962945.3722973,77039,-139.0059356689453
1652962954.3994288,78098,-140.91839599609375
1652962963.6832376,79157,-141.62814331054688
1652962973.7538774,80576,-142.60968017578125
1652962985.1508722,81705,-143.966796875
1652962993.6299071,82729,-144.4259796142578
1652963003.3271163,83919,-145.4497833251953
1652963012.675111,84930,-146.27772521972656
1652963022.3869503,86069,-147.1092529296875
1652963038.97331,88055,-148.1665496826172
1652963054.6885164,89674,-149.85699462890625
1652963071.9610271,91707,-151.6011962890625
1652963087.9941819,93471,-153.50006103515625
1652963101.1684706,94923,-154.08213806152344
1652963122.1366937,97313,-154.7589569091797
1652963146.5355313,100653,-156.04066467285156
