Wall time,Step,Value
1652960488.3945255,355,-0.325579434633255
1652960489.9208207,623,-0.1171606108546257
1652960491.296684,890,0.03722825646400452
1652960494.0074816,1541,-0.4983029067516327
1652960498.091942,2268,-1.4855220317840576
1652960502.4699984,3098,-2.360994815826416
1652960507.059035,3911,-3.098438024520874
1652960511.2119439,4660,-3.740507125854492
1652960515.4657047,5426,-4.107583522796631
1652960520.0656333,6240,-4.921581745147705
1652960524.6559658,7066,-5.523643970489502
1652960528.6043339,7774,-6.08642578125
1652960532.9678988,8574,-6.3618855476379395
1652960537.3205373,9339,-7.002592086791992
1652960541.3430948,10077,-7.273427963256836
1652960545.6181905,10856,-7.662003517150879
1652960549.8817394,11607,-7.996050834655762
1652960554.0929027,12500,-8.375003814697266
1652960559.2773082,13296,-9.18564510345459
1652960563.6477842,14141,-9.35584831237793
1652960568.2665372,14915,-9.996771812438965
1652960572.8906138,15745,-10.658456802368164
1652960577.0613263,16468,-10.737957000732422
1652960581.0754223,17193,-10.552887916564941
1652960585.2249892,17914,-10.895889282226562
1652960589.9707754,18816,-11.551461219787598
1652960594.513325,19561,-11.910167694091797
1652960598.5457907,20308,-11.661685943603516
1652960603.023863,21094,-11.827238082885742
1652960607.4453545,21907,-12.046133995056152
1652960612.1099515,22683,-12.611520767211914
1652960616.3335605,23458,-12.789156913757324
1652960620.9737604,24257,-12.369312286376953
1652960626.373487,25209,-12.790998458862305
1652960630.5884,25974,-13.56182861328125
1652960631.774859,25998,-16.174434661865234
1652960631.913869,26022,-17.297374725341797
1652960632.0524602,26046,-21.43367576599121
1652960632.1900759,26070,-18.911256790161133
1652960632.3276262,26094,-17.239778518676758
1652960632.4651754,26118,-16.755613327026367
1652960632.6023495,26142,-17.09970474243164
1652960632.7396984,26166,-17.108261108398438
1652960632.8771348,26190,-16.36385154724121
1652960633.02786,26219,-18.34825897216797
1652960633.3494177,26286,-16.58445167541504
1652960633.7687824,26357,-18.23729133605957
1652960634.2963824,26469,-19.167123794555664
1652960635.8801694,26853,-23.121219635009766
1652960639.2605827,27491,-22.771713256835938
1652960643.3374684,28251,-22.31264877319336
1652960647.9647949,29050,-23.572187423706055
1652960652.214445,29804,-23.400358200073242
1652960656.67397,30611,-23.794130325317383
1652960658.2891092,30736,-24.339962005615234
1652960658.851836,30834,-26.216123580932617
1652960659.4416637,30932,-26.416471481323242
1652960660.0289435,31058,-26.383508682250977
1652960662.5847697,31556,-26.92512321472168
1652960665.0730898,32124,-26.146169662475586
1652960668.6862805,32725,-25.73140525817871
1652960672.3395646,33364,-25.05620002746582
1652960676.2716756,34120,-25.408620834350586
1652960680.243242,34786,-25.462318420410156
1652960684.1676714,35576,-25.6656551361084
1652960689.1588194,36578,-24.998960494995117
1652960693.9863915,37342,-24.804433822631836
1652960699.3961074,38280,-25.296533584594727
1652960705.66105,39347,-26.770702362060547
1652960709.8149397,40047,-27.588375091552734
1652960713.1264305,40643,-28.093473434448242
1652960716.3659456,41215,-28.957914352416992
1652960721.2538042,42132,-29.01172637939453
1652960725.204962,42826,-29.535785675048828
1652960729.7544744,43608,-29.538665771484375
1652960737.3079307,44868,-31.17995262145996
1652960739.6354578,45359,-32.15277099609375
1652960742.562281,45870,-33.27873611450195
1652960745.279482,46396,-35.10037612915039
1652960747.8179338,46741,-36.63919448852539
1652960750.4326203,47215,-37.674652099609375
1652960753.083017,47712,-39.0411491394043
1652960756.146005,48275,-40.39595413208008
1652960759.0698242,48875,-41.09278106689453
1652960765.0074668,50327,-44.35154342651367
1652960772.2910683,51006,-46.32208251953125
1652960774.9983318,51473,-47.77956771850586
1652960777.5723639,51882,-48.067569732666016
1652960779.5850863,52222,-48.263938903808594
1652960781.991492,52663,-48.688087463378906
