#{"t_start": 1654181355.5427735, "env_id": "Walker2d-v3"}
r,l,t
83.789793,197,0.094825
88.343372,202,0.190055
86.96361,201,0.284146
64.824174,177,0.368643
56.951229,170,0.450907
91.636271,205,0.550303
69.476064,181,0.636722
64.249449,177,0.721249
137.805283,254,0.843764
80.715928,195,0.938507
81.455512,194,1.034353
62.492413,176,1.120993
72.511745,186,1.212495
61.65697,175,1.297673
64.965552,177,1.38464
94.026837,209,1.48736
91.318935,205,1.587601
87.444185,201,1.685971
64.228471,177,1.773083
117.516092,232,1.88666
53.067492,165,1.968006
94.812088,209,2.070553
61.68228,175,2.156251
65.879734,178,2.243641
90.404541,205,2.344231
71.891054,186,2.435239
62.292832,175,2.521232
57.225317,169,2.604299
53.438674,165,2.685007
75.143457,189,2.777814
113.122571,228,2.889639
113.442082,227,3.000942
88.665574,203,3.100346
87.13927,201,3.198461
71.618412,185,3.288816
97.842609,212,3.392442
104.638688,219,3.499408
115.838099,231,3.611805
66.706725,180,3.699619
67.381974,180,3.787422
70.276135,183,3.877205
162.561849,277,4.012368
74.602894,188,4.104771
90.902978,204,4.204693
52.29604,165,4.285469
57.67306,171,4.369287
78.196922,192,4.463452
71.639897,185,4.553371
90.360506,205,4.653663
81.69142,195,4.748775
61.764229,174,4.834351
58.524598,172,4.917712
91.20015,204,5.01636
82.482042,197,5.112473
66.018924,179,5.199637
125.992751,241,5.316876
84.959029,199,5.4138
62.587701,175,5.498971
56.931358,169,5.581279
69.781576,183,5.669585
84.609652,199,5.767116
119.551475,234,5.881095
77.542765,190,5.973862
64.553271,177,6.060316
60.101361,173,6.144785
88.910594,204,6.244241
56.658295,169,6.326166
371.866244,251,6.447446
160.362335,276,6.581204
69.016262,182,6.669956
52.017278,164,6.749722
65.988342,179,6.83651
59.943294,173,6.92052
78.600038,192,7.013971
71.940736,186,7.104578
66.374801,180,7.192454
94.505511,209,7.293896
65.087751,178,7.380312
70.989253,184,7.469931
79.595239,192,7.562729
70.04191,183,7.651644
59.702597,172,7.734711
56.367156,169,7.816811
60.525483,174,7.901226
81.085493,196,7.996001
94.473824,209,8.097794
87.996458,203,8.196095
67.139232,179,8.283177
67.938645,182,8.371591
76.528317,190,8.463382
60.158675,172,8.546964
63.421267,177,8.632332
112.26938,227,8.742715
63.95685,177,8.828821
75.938822,189,8.920511
66.733549,179,9.006814
87.311786,200,9.103841
52.61777,164,9.183588
66.326654,178,9.269651
95.548101,209,9.371079
103.377676,217,9.565289
62.999455,175,9.649933
131.485565,247,9.77002
96.890698,211,9.872257
85.168553,199,9.968281
94.314617,209,10.069238
81.16561,196,10.16416
88.67307,204,10.262758
85.806379,199,10.359032
76.328445,189,10.450992
