#{"t_start": 1654143542.4621735, "env_id": "Hopper-v3"}
r,l,t
16.584084,13,0.0091
261.316322,119,0.129673
42.241814,24,0.615097
256.411985,114,0.795238
210.981512,97,1.388516
61.803449,38,1.859245
141.256865,72,2.041229
132.871014,68,2.348906
232.244999,108,2.674519
7.147998,8,3.091571
7.198193,8,3.127126
71.874696,42,3.186635
5.95291,7,3.347701
5.876891,7,3.375934
5.844855,7,3.407783
5.813652,7,3.439631
5.803168,7,3.473413
5.811564,7,3.504242
5.861872,7,3.539273
10.830238,10,3.569889
235.539732,106,3.665663
6.013441,7,4.066632
7.361861,8,4.100922
6.011208,7,4.137787
5.853277,7,4.168226
5.800286,7,4.200356
5.850839,7,4.230163
6.016483,7,4.26241
6.925816,8,4.291809
5.914504,7,4.327253
5.872337,7,4.359462
5.914474,7,4.389339
8.904994,9,4.423789
245.43727,108,4.515255
246.070278,109,4.98008
257.55409,117,5.450456
259.887499,117,5.963025
248.455133,110,6.453565
258.153894,114,6.92391
261.856505,115,7.430605
250.114429,110,7.978002
256.762491,113,8.485521
253.914849,112,9.000284
259.038273,115,9.487899
252.359703,112,10.019366
254.234444,110,10.546342
247.593586,104,11.033221
