#{"t_start": 1654107174.589543, "env_id": "Walker2d-v3"}
r,l,t
562.802432,290,0.136562
511.009348,287,0.278215
631.929869,319,0.427564
750.142926,416,0.624243
878.513898,464,0.842694
897.911086,488,1.068934
1039.896149,557,1.324977
681.437464,373,1.496255
613.814593,300,1.635398
1055.147861,565,1.894757
974.703596,353,2.057196
696.061246,257,2.175107
461.73616,215,2.274482
474.715645,224,2.377394
458.026018,200,2.468366
362.378313,173,2.547814
506.988324,212,2.643829
2617.308288,841,3.025912
707.466459,261,3.145302
732.28587,287,3.276957
1698.11197,595,3.555486
2121.795091,762,3.911767
1690.641151,604,4.19248
3043.452398,1000,4.653195
2945.831839,1000,5.116074
1781.777657,613,5.399544
1524.792893,536,5.649496
1776.919638,591,5.922771
1430.691365,502,6.156047
502.092066,339,6.314122
238.948742,127,6.374833
251.641988,137,6.439694
246.778544,134,6.503883
245.808035,134,6.567925
222.167735,116,6.623246
251.830858,138,6.688838
240.33621,129,6.750282
248.305932,136,6.815616
257.145564,141,6.883035
224.979275,119,6.939695
495.40558,225,7.045027
632.943253,249,7.160182
584.677099,243,7.273071
617.466772,248,7.387323
639.970475,251,7.503186
484.402535,211,7.601857
715.513708,288,7.735235
615.68426,227,7.840021
634.390539,248,7.954389
581.237196,231,8.061122
337.605884,200,8.155258
354.497267,205,8.25107
376.214547,221,8.354119
326.695496,193,8.44393
327.545004,194,8.534786
392.603208,231,8.642829
374.830209,223,8.747897
345.086575,207,8.844731
364.68306,217,8.945807
392.50841,237,9.057132
2027.709812,1000,9.519827
1769.569619,780,9.879915
2234.26867,1000,10.341352
1062.364983,474,10.560537
2304.227016,1000,11.019971
2234.427305,1000,11.482443
2268.845641,1000,11.940663
2168.159205,1000,12.400748
2314.562528,1000,12.862391
1215.467338,521,13.102358
337.368354,136,13.164922
405.45575,162,13.239207
365.952972,154,13.310231
338.583253,136,13.372751
367.461285,136,13.434067
348.424906,131,13.493498
339.064813,133,13.554052
484.60127,184,13.638311
329.676016,131,13.698101
436.39987,170,13.775895
343.325258,140,13.840285
145.224541,76,13.875225
422.757455,196,13.964232
164.746454,85,14.00319
287.839297,156,14.074414
511.197954,224,14.17595
452.203391,226,14.278831
315.16308,156,14.349045
256.936033,125,14.405412
420.540397,181,14.487202
2585.607123,1000,14.944404
2591.461335,1000,15.401119
2613.432898,1000,15.859482
2568.588484,1000,16.32073
2594.493819,1000,16.779845
2603.74451,1000,17.237919
2597.949937,1000,17.692777
1050.452239,408,17.880894
2573.797263,1000,18.337052
2559.353583,1000,18.796099
1884.634173,656,19.260661
420.878905,281,19.392929
2695.692057,918,19.821806
2227.539995,1000,20.294461
526.717434,372,20.469849
1703.166632,604,20.754368
1825.234525,607,21.039603
1706.737423,605,21.323506
2550.528707,953,21.77211
988.57315,661,22.083783
