#{"t_start": 1654089599.5999885, "env_id": "Hopper-v3"}
r,l,t
699.221925,217,0.098858
673.245143,209,0.191459
784.309437,246,0.330309
486.400094,167,0.430042
773.750292,241,0.540914
422.942656,152,0.613728
788.535348,245,0.735791
599.988104,223,0.876036
907.770417,278,1.018137
722.637693,226,1.135627
37.296891,21,1.14594
38.35497,22,1.156546
39.949378,23,1.167559
38.766425,22,1.178228
38.37128,22,1.188817
40.234959,23,1.199928
38.326941,22,1.210457
38.609936,22,1.220935
40.217492,23,1.231856
38.928494,22,1.242296
254.504331,122,1.299427
268.496024,132,1.360788
239.157943,115,1.414208
267.917537,132,1.475378
273.934267,137,1.539425
261.250919,127,1.598623
267.20981,131,1.659927
256.843156,125,1.718195
270.154631,133,1.780471
272.835503,135,1.843461
793.757276,266,1.964768
1020.146027,326,2.116241
988.885279,330,2.268758
883.238842,288,2.40064
938.382946,313,2.542619
823.645322,312,2.686625
1008.984102,329,2.837783
810.952639,307,2.979724
906.610493,305,3.119177
819.878302,310,3.262078
425.912304,236,3.371662
272.245654,137,3.435988
271.074117,136,3.499628
391.618887,212,3.598421
267.967703,133,3.660076
1031.542755,1000,4.139436
273.948468,138,4.203783
265.007177,134,4.266394
369.036691,202,4.360357
272.537922,136,4.423819
684.460011,222,4.525185
591.179057,198,4.615271
596.381102,199,4.705624
587.388311,197,4.795533
596.795298,199,4.886532
630.189701,214,4.984055
584.519779,196,5.072978
617.301016,206,5.166907
615.93594,202,5.259062
605.531911,203,5.351115
5.275079,10,5.356241
5.257326,10,5.361072
5.25902,10,5.365959
5.296342,10,5.370766
5.287911,10,5.375584
5.33912,10,5.38044
5.256324,10,5.385249
5.332908,10,5.390091
5.316097,10,5.394891
5.335489,10,5.399695
483.557705,167,5.475807
530.560351,179,5.557774
419.45806,154,5.628214
448.382411,160,5.701383
494.790504,170,5.778231
464.036307,162,5.852714
571.515696,194,5.940867
493.494062,169,6.018102
475.495876,165,6.093247
496.602539,171,6.171106
893.954984,271,6.295512
617.811716,188,6.381844
781.105334,234,6.489256
636.409198,201,6.581436
594.570584,181,6.664094
635.670706,198,6.755085
514.340748,160,6.828314
724.59207,221,6.929549
587.917576,177,7.010602
1184.144153,365,7.177267
720.762098,231,7.28279
717.083287,227,7.386509
703.156206,226,7.489381
740.081602,236,7.596851
748.848073,237,7.704529
674.399433,219,7.804881
687.104509,223,7.906515
662.12025,215,8.00513
755.753725,241,8.114829
647.107296,210,8.210615
758.906463,228,8.441909
844.452845,254,8.558478
1188.051406,365,8.726605
540.22871,166,8.803455
657.318583,205,8.898246
608.420755,183,8.982439
1470.953752,453,9.189843
620.248598,188,9.27624
634.310158,199,9.368402
1363.875455,416,9.560281
