#{"t_start": 1654129878.734402, "env_id": "Hopper-v3"}
r,l,t
28.387901,24,0.011693
28.150887,24,0.023092
29.924824,25,0.034744
29.887439,25,0.046355
30.038734,25,0.057871
28.267967,24,0.068918
28.230385,24,0.079952
28.368259,24,0.091019
28.388191,24,0.102197
29.904571,25,0.11372
161.06569,82,0.152264
161.440589,82,0.191317
159.215161,81,0.230797
158.0514,80,0.269347
157.233378,80,0.306402
159.155566,81,0.345438
159.677297,81,0.383461
158.639288,81,0.421487
156.891533,80,0.459322
156.436864,80,0.497611
364.420448,148,0.572529
360.033433,145,0.640616
359.435721,146,0.709513
349.839215,148,0.781651
349.750817,149,0.85412
360.207394,146,0.922586
363.939452,148,0.992795
349.049973,147,1.064566
361.141524,149,1.139163
367.779095,148,1.207941
208.036221,93,1.251598
209.448805,94,1.296465
209.460678,94,1.338963
208.552073,94,1.38094
209.378451,94,1.422984
209.362462,94,1.464873
211.996413,95,1.507229
214.754805,96,1.549974
206.978995,93,1.591468
207.594297,93,1.633252
422.183259,365,1.79963
1051.009667,1000,2.256183
1038.933901,827,2.63269
1062.1161,1000,3.087776
800.934169,721,3.415649
848.506901,769,3.767272
1196.054063,984,4.216433
1077.491728,1000,4.673683
1205.606854,993,5.127478
944.282366,874,5.526303
386.137417,148,5.592976
375.407625,145,5.65827
385.752224,148,5.725237
388.04661,148,5.792064
369.925984,143,5.856495
374.075475,144,5.921287
375.808428,145,5.986613
370.970916,144,6.051419
372.601857,144,6.11621
372.799741,144,6.181355
301.908174,138,6.244014
318.539489,145,6.309513
310.271866,145,6.375676
307.105229,142,6.43994
302.770745,139,6.502487
305.070054,140,6.5656
310.135928,146,6.631823
179.505291,100,6.677343
304.11464,140,6.74078
307.432165,139,6.803484
286.793366,131,6.862189
284.543809,126,6.918049
288.469546,131,6.976736
283.574526,128,7.033667
286.927537,131,7.092015
286.522283,131,7.150759
284.562563,127,7.207427
292.023277,133,7.266856
291.208257,132,7.325871
285.510397,128,7.383255
315.59982,123,7.439386
316.332634,123,7.495138
311.598465,122,7.550337
315.606707,123,7.606169
316.05565,123,7.661954
314.807242,123,7.717919
316.033627,123,7.773731
312.131299,122,7.828639
316.623419,123,7.884086
312.979547,122,7.939028
304.94687,126,7.995978
307.56191,127,8.053042
306.397818,128,8.110418
306.541681,122,8.165442
304.932897,126,8.222029
303.241294,122,8.276975
309.853457,130,8.335961
303.612112,122,8.39102
303.590291,122,8.445908
304.504612,123,8.501118
1042.613816,1000,9.046026
1012.586579,1000,9.50551
1182.298465,991,9.954145
1013.814142,1000,10.411671
871.81142,679,10.717857
1012.664485,1000,11.170398
1013.755134,1000,11.626368
1013.810305,1000,12.083608
1013.95592,1000,12.541261
1027.545184,1000,12.99274
