#{"t_start": 1654134517.9485283, "env_id": "Walker2d-v3"}
r,l,t
239.40632,219,0.102449
257.801467,379,0.292432
320.262421,249,0.417909
246.504718,192,0.516632
-7.774575,334,0.696302
271.072247,235,0.810744
120.122956,572,1.109838
348.283347,210,1.209046
353.552277,307,1.347655
146.852029,339,1.498994
206.8815,375,1.668273
242.048536,313,1.808697
3.130369,166,1.883394
198.583978,301,2.019363
205.056628,264,2.138152
162.496892,185,2.22107
161.034463,109,2.270365
253.614217,194,2.357461
147.890496,293,2.490424
77.701852,259,2.60639
375.971272,349,2.766545
433.872121,298,2.900927
47.330196,263,3.018566
41.484315,144,3.083695
929.105488,1000,3.549996
925.846278,1000,4.015988
218.932329,448,4.218888
0.28113,128,4.277428
2.188486,133,4.337334
687.094585,793,4.698804
909.699655,1000,5.163396
210.956022,194,5.250307
107.935023,119,5.30402
331.220392,233,5.41013
29.580586,66,5.440571
243.712718,190,5.526914
183.765932,227,5.628509
26.342265,74,5.661547
26.583142,63,5.690621
157.228006,193,5.776412
243.093566,155,5.846778
172.386713,86,5.885883
257.16744,126,5.942035
167.895379,90,5.982124
178.538051,90,6.022133
163.699815,85,6.059862
282.860226,249,6.175927
144.246681,155,6.24708
171.855277,88,6.287719
179.19277,127,6.34461
301.241218,195,6.432269
61.498645,92,6.472986
31.921255,90,6.513472
39.869793,102,6.558896
28.48574,61,6.586129
112.220288,260,6.702542
15.182065,47,6.723589
61.052185,104,6.769727
27.140752,72,6.801789
28.138394,58,6.827701
184.455129,183,6.910437
116.920302,69,6.941282
198.571215,207,7.043044
89.169763,59,7.074139
132.59792,91,7.119925
268.597904,182,7.201322
157.925494,98,7.245023
287.650624,191,7.331626
152.772153,96,7.374586
136.897568,91,7.415457
112.696203,268,7.53607
671.9273,1000,7.990726
131.463336,419,8.180605
18.05912,64,8.210163
87.473825,213,8.306781
381.491225,1000,8.759134
460.145981,596,9.025509
180.380966,303,9.160356
377.392317,402,9.341135
162.654537,269,9.461576
97.064492,80,9.497734
105.730945,81,9.534639
108.295437,87,9.573621
94.109585,83,9.610882
102.015476,87,9.649756
97.894879,85,9.687708
115.349554,87,9.727776
99.010505,84,9.768729
111.198584,91,9.814303
95.145413,83,9.856094
231.30902,191,9.944806
447.407904,304,10.088375
465.609034,353,10.25102
320.631018,199,10.34371
209.362535,147,10.410995
277.909657,241,10.521082
301.518871,193,10.607411
265.201535,153,10.675639
448.960208,382,10.846194
317.397778,194,10.933101
221.391079,122,11.097909
226.513145,121,11.153306
219.390207,120,11.208218
222.313289,121,11.262717
213.259704,117,11.315377
207.964388,116,11.368033
211.190062,118,11.420993
212.472948,117,11.475558
213.913792,121,11.530482
173.364512,104,11.577652
