#{"t_start": 1654120779.491601, "env_id": "Walker2d-v3"}
r,l,t
699.346072,285,0.132321
776.565844,286,0.266315
813.748183,321,0.415162
650.15159,268,0.541103
681.698204,285,0.677829
794.014617,300,0.816788
651.582351,275,0.948833
775.793889,303,1.093003
526.225154,252,1.222126
638.418525,266,1.350559
711.979176,280,1.482331
1715.385483,583,1.749074
863.778506,340,1.906531
770.033578,277,2.033493
877.481796,331,2.186763
856.233802,314,2.334481
744.361311,272,2.481344
752.069913,275,2.616447
823.271667,295,2.759763
899.284911,317,2.907232
2057.041839,715,3.257612
607.4973,283,3.391709
738.214519,377,3.568636
1132.836567,512,3.805812
550.455354,391,3.998878
731.602554,313,4.147705
727.931842,368,4.323725
1412.029193,584,4.595191
1992.246152,908,5.016238
1761.903512,794,5.385746
741.7239,279,5.519251
655.457604,259,5.642393
396.774153,179,5.725326
376.517637,169,5.809007
641.109181,251,5.9244
636.943551,256,6.043607
496.203668,203,6.137236
640.241677,239,6.248168
690.381886,270,6.372375
358.675202,162,6.446457
267.539067,138,6.511789
282.26165,149,6.583922
303.415955,156,6.656135
353.036054,190,6.747007
281.599708,146,6.82284
327.136677,171,6.905443
357.114964,199,7.002433
306.575627,164,7.081649
265.473672,136,7.145353
303.194185,167,7.226679
352.035367,199,7.321916
-106.381723,297,7.461003
421.968727,276,7.611661
1010.112142,375,7.800438
355.90835,187,7.890604
707.31672,294,8.029764
1266.226924,635,8.332152
1486.014713,727,8.690904
280.500097,170,8.787068
1089.515499,358,8.956539
727.385152,397,9.164907
126.792141,230,9.276209
586.869848,330,9.432903
537.650969,267,9.575545
611.579231,261,9.698325
930.736385,521,9.957905
548.491492,279,10.086827
747.243631,520,10.331606
834.51604,461,10.547
460.419191,413,10.741988
516.286553,260,10.863606
407.911846,200,10.955967
434.614492,231,11.065787
413.595511,197,11.156996
509.854972,281,11.290946
487.210755,253,11.412514
455.745467,221,11.515985
520.475129,276,11.645051
506.101107,275,11.782355
445.992895,203,11.876306
2133.415606,814,12.258759
1242.456552,442,12.466314
1115.490718,398,12.651615
1604.927285,638,12.951208
1612.997158,554,13.205459
1255.517922,479,13.428515
1039.385633,403,13.614174
918.797946,445,13.821903
1430.078291,600,14.101057
1021.193209,397,14.284507
239.676654,337,14.445769
125.516213,221,14.549484
182.56919,279,14.682351
120.806169,218,14.785589
130.136146,227,14.891818
1232.176143,666,15.202549
136.092158,234,15.313122
142.814827,239,15.425908
248.561941,347,15.594112
1437.485995,899,16.089506
929.947374,352,16.370466
688.080464,281,16.505602
633.007045,262,16.636719
789.419979,299,16.775928
780.457956,314,16.922181
657.117134,293,17.065103
746.053518,293,17.204937
811.854494,325,17.368608
782.267827,307,17.512967
587.70978,274,17.641695
