#{"t_start": 1654155491.4518433, "env_id": "Walker2d-v3"}
r,l,t
467.345676,249,0.136947
335.342214,146,0.207485
370.439483,195,0.304411
266.774225,133,0.391425
350.175537,153,0.494744
372.159396,190,0.605895
271.832336,134,0.694602
478.900481,271,0.848174
333.398277,149,0.939172
279.856078,140,1.032209
295.984665,152,1.117379
291.489921,151,1.188361
306.796292,126,1.252306
200.378652,108,1.302678
246.190154,122,1.365962
398.576129,200,1.460153
518.219525,270,1.586869
451.766226,190,1.676799
251.045247,130,1.738197
485.848231,235,1.848416
282.874108,133,1.911564
387.489228,161,1.987836
310.78317,149,2.058414
307.383456,153,2.131213
344.614097,177,2.217128
358.551773,162,2.294316
347.501204,166,2.37289
344.149503,180,2.458155
299.977963,147,2.527845
327.781483,159,2.603019
357.91724,166,2.681468
365.884624,179,2.765241
344.287286,171,2.845256
301.317459,146,2.912886
206.193495,105,2.961965
355.021578,197,3.054267
261.473014,144,3.121407
396.014132,199,3.215344
334.141424,164,3.291414
359.621379,188,3.379248
412.713612,221,3.481868
328.658434,193,3.572305
326.498249,194,3.662312
400.232143,204,3.757343
315.991481,173,3.837839
334.41309,175,3.919677
272.179196,147,3.988112
329.461671,176,4.069764
245.179899,135,4.132419
324.723928,174,4.214326
707.46899,290,4.349269
533.518009,275,4.477825
311.030667,157,4.55048
804.65158,343,4.71009
334.322494,176,4.792299
414.501257,194,4.882474
332.329866,155,4.955388
409.577804,190,5.043707
465.412165,210,5.141582
369.743905,172,5.221924
1.410006,11,5.227528
1.427575,11,5.232826
1.133566,10,5.23769
1.290616,11,5.24298
1.296099,10,5.247828
1.220866,11,5.253116
1.258418,10,5.257943
1.568233,11,5.263258
241.912555,140,5.328551
1.220665,10,5.33342
330.567587,168,5.411889
215.002286,115,5.465729
408.827603,192,5.557001
260.02164,122,5.613892
368.819584,181,5.698523
388.984355,181,5.78191
360.822959,169,5.860935
563.777764,233,5.969568
328.316362,163,6.045741
377.400093,171,6.125352
353.185958,193,6.216322
221.31098,105,6.265439
235.46584,122,6.322657
205.687774,100,6.369585
177.873231,85,6.409497
189.333608,87,6.450087
241.517889,119,6.505467
316.511913,166,6.583163
359.949006,173,6.664415
341.812611,169,6.743767
976.545792,411,6.936452
806.490706,304,7.078096
379.672909,161,7.15321
321.328386,155,7.226114
456.706044,194,7.316909
401.689454,182,7.403483
331.98929,145,7.471682
380.555591,158,7.545387
766.557518,334,7.701202
479.962985,210,7.800969
633.148268,354,8.032293
677.664048,413,8.225645
401.826931,206,8.322544
303.526458,194,8.413325
61.47035,126,8.473038
64.982903,202,8.568263
482.706956,241,8.680381
71.778783,149,8.750236
555.330304,313,8.895939
549.384162,301,9.036948
