#{"t_start": 1654189546.4960456, "env_id": "Hopper-v3"}
r,l,t
185.965202,91,0.058826
358.704546,132,0.522857
262.551069,121,1.25592
262.228495,119,1.986376
271.773106,162,2.635374
209.574957,106,3.367772
221.822052,113,3.869267
226.140454,112,4.438673
201.517212,103,4.975704
132.160454,75,5.475438
169.827662,94,5.837992
5.991174,9,6.231956
5.984052,9,6.276323
5.905956,9,6.316375
16.890353,15,6.364466
23.509253,18,6.436688
118.776138,76,6.551965
12.945256,14,6.885169
6.638625,11,6.951715
5.910367,10,7.004652
7.038638,11,7.050657
7.317049,11,7.105439
6.636358,11,7.163702
6.14574,10,7.214541
7.263923,11,7.271179
7.847461,11,7.330207
7.551766,11,7.382342
6.591467,11,7.436623
8.405465,12,7.488587
10.107159,13,7.543373
9.204261,12,7.609599
6.915589,11,7.671852
7.247252,11,7.724642
11.26096,13,7.78034
12.21196,14,7.84744
92.062856,71,7.953447
