#{"t_start": 1654139061.121166, "env_id": "Walker2d-v3"}
r,l,t
-4.342358,70,0.031417
-1.189468,80,0.06648
-26.978469,116,0.119651
-36.04849,191,0.234489
-26.208184,109,0.302044
-2.554212,68,0.345145
-35.28522,139,0.430694
-9.140489,59,0.473558
-0.323587,133,0.540422
-26.178699,99,0.609087
34.918946,51,0.637434
5.183577,39,0.665248
9.589708,41,0.687039
-53.552765,134,0.753534
32.511454,50,0.778232
29.86285,60,0.809199
28.450489,59,0.85046
33.289614,56,0.887825
16.478183,42,0.920282
32.910206,58,0.963641
-34.285279,99,1.010187
-37.953218,97,1.067007
-25.666774,84,1.104256
-33.661762,102,1.148852
-20.666224,86,1.187259
-32.527374,128,1.245532
-7.950529,80,1.281572
1.815921,77,1.316281
-1.012293,73,1.34943
-1.594373,78,1.384707
-22.694952,152,1.452422
-31.718239,115,1.504243
306.338017,411,1.688495
-26.516925,112,1.738917
-80.376843,125,1.795368
-3.550186,363,1.95869
-45.770409,112,2.009132
-18.650076,111,2.058629
-24.375951,111,2.108853
-39.009136,111,2.158587
754.945112,504,2.39043
926.424972,1000,2.860315
618.95448,430,3.058221
698.584829,455,3.268053
16.639353,97,3.312269
925.132151,1000,3.785046
9.345272,75,3.819027
624.868338,402,4.003734
46.987494,76,4.038316
-3.64449,22,4.048353
231.102075,211,4.143007
147.730465,298,4.276718
202.83078,590,4.543097
56.873161,116,4.595979
176.244512,176,4.675344
16.470138,98,4.71944
35.006334,99,4.763989
224.729286,252,4.877358
75.999516,115,4.929226
-39.493756,329,5.077356
934.181424,1000,5.545879
18.906578,177,5.627175
-21.043659,153,5.696809
-14.495607,185,5.781508
624.949692,797,6.153886
332.751284,522,6.39566
54.839907,244,6.50748
191.503159,357,6.672349
357.808648,530,6.917866
504.237258,680,7.23497
162.081643,188,7.319514
45.876642,240,7.427474
844.503301,1000,7.893831
190.933086,191,7.978588
224.542629,204,8.07081
38.504047,136,8.13245
298.256519,273,8.255132
187.264223,198,8.344038
373.854738,335,8.494623
576.528044,409,8.678018
291.926981,375,8.847075
292.915239,212,8.942283
43.778771,220,9.041688
215.778143,232,9.145862
95.586538,416,9.33351
197.150565,314,9.474457
111.122491,321,9.619532
43.513863,227,9.722054
366.465282,221,9.821314
448.282383,336,9.972605
101.364112,201,10.063933
-56.687463,139,10.127009
25.568408,143,10.191205
-48.622171,234,10.296851
-18.499769,188,10.381845
289.258592,330,10.530223
28.831468,210,10.625788
293.187152,554,10.877007
15.545302,142,10.940976
-36.965258,125,10.997391
2.793377,58,11.168579
4.557586,58,11.195062
-3.264757,67,11.225633
2.345598,57,11.251504
1.2005,57,11.277307
0.843905,57,11.303204
-0.354706,56,11.328446
2.155749,59,11.355096
0.474599,55,11.379869
1.583506,55,11.404512
