#{"t_start": 1654164836.639943, "env_id": "Hopper-v3"}
r,l,t
1197.417982,440,0.230434
1100.989757,337,0.384555
1154.625659,358,0.548101
852.592068,297,0.682746
796.293999,295,0.815915
1155.022818,357,0.989056
1428.378363,485,1.208601
1365.235289,463,1.416259
1198.436047,402,1.5961
983.058595,362,1.759521
634.240663,254,1.87516
338.093749,151,1.943876
347.441635,157,2.015178
782.467853,265,2.135239
480.894225,189,2.220786
341.400571,154,2.290453
592.729974,203,2.382231
568.960853,201,2.472754
327.676733,147,2.540201
829.666441,265,2.659559
481.020615,154,2.729604
478.416694,152,2.798934
454.254589,153,2.868597
484.894272,154,2.939962
580.070921,183,3.021675
464.185766,156,3.092487
581.402764,185,3.175977
498.69075,158,3.247138
514.16935,165,3.322017
502.0103,160,3.395123
736.021526,237,3.501399
745.47253,241,3.609492
791.993762,249,3.721456
720.509287,231,3.825149
692.823012,231,3.929314
762.58116,243,4.037998
903.626293,293,4.168557
705.511679,234,4.273802
469.509448,163,4.346923
844.500336,263,4.465047
114.667364,60,4.49242
116.135567,61,4.520171
118.761615,63,4.548867
638.333424,222,4.649498
359.414711,139,4.71289
114.294826,60,4.739721
118.820828,62,4.767667
118.603616,63,4.796252
117.065843,62,4.824289
623.500365,219,4.922985
849.87327,274,5.046138
904.412694,310,5.185935
890.593176,311,5.325976
867.913087,302,5.46236
917.463573,315,5.603252
1226.840485,409,5.787699
1142.228204,379,5.958338
875.694836,307,6.0965
884.161583,308,6.235579
954.428915,309,6.37423
735.198772,240,6.482457
821.800931,259,6.599398
883.877066,272,6.722224
776.658919,252,6.835887
859.053784,266,6.95575
888.061215,273,7.079039
872.681614,275,7.20338
836.584745,278,7.329145
886.996628,281,7.455828
865.633314,280,7.583122
1011.284035,318,7.726041
788.153347,244,7.835917
710.070234,222,7.935678
1085.077399,331,8.084265
3199.168196,1000,8.534611
800.968792,247,8.645829
1360.02201,421,8.834766
3200.34335,1000,9.285719
3147.096245,991,9.730086
2916.180024,889,10.128917
846.660377,274,10.253571
907.430248,310,10.394018
986.503004,333,10.544793
843.387596,275,10.668719
1015.236839,339,10.822617
987.010705,331,10.972806
241.711567,128,11.031247
839.235665,276,11.155591
905.72047,312,11.297123
253.017327,132,11.357664
406.810539,160,11.430411
417.541253,164,11.50333
430.270602,168,11.578689
442.747977,167,11.653924
414.105511,163,11.726898
418.253593,163,11.800364
479.058462,184,11.882076
507.335469,196,11.970308
380.037489,153,12.038886
389.151511,155,12.108717
2024.080632,612,12.468551
2241.51188,684,12.779769
746.420525,229,12.883443
3177.636507,1000,13.336891
1743.298443,533,13.578314
3245.923767,996,14.027708
3220.825788,1000,14.481544
1726.553365,537,14.725235
3193.988289,1000,15.179482
2768.18402,855,15.56679
