#{"t_start": 1654170167.850025, "env_id": "Hopper-v3"}
r,l,t
259.114202,121,0.057026
260.484738,122,0.113411
261.532675,123,0.170762
266.159839,126,0.229034
255.962773,119,0.284398
257.402359,120,0.341535
257.044437,120,0.397639
260.523518,122,0.455074
258.873125,121,0.511828
255.720134,119,0.568189
265.067865,125,0.629664
258.305295,120,0.686693
260.160084,122,0.744879
262.787983,123,0.802984
260.762145,122,0.868122
265.069305,125,0.927773
264.411502,124,0.986651
254.347065,118,1.04287
257.191366,120,1.101179
259.925067,121,1.158473
257.555317,120,1.215851
265.456246,125,1.27567
255.406314,119,1.332279
259.115008,121,1.389881
260.233825,122,1.447913
257.820155,120,1.505294
255.879111,119,1.561589
264.214679,124,1.620327
262.889211,123,1.678617
262.66261,123,1.736948
257.998812,120,1.794456
258.09637,119,1.851312
263.622052,123,1.910183
266.609797,125,1.969919
262.581587,122,2.028156
260.639062,121,2.086016
262.380102,122,2.144166
260.775431,121,2.201472
267.068794,125,2.260885
258.884775,120,2.318388
271.294598,128,2.379831
266.414765,125,2.439239
255.650774,119,2.496471
267.9376,126,2.556304
265.196055,124,2.614818
256.575997,119,2.671917
253.603159,117,2.728169
254.823816,118,2.784278
259.17736,121,2.84179
256.290137,119,2.898478
258.892506,120,2.956218
261.661482,122,3.014359
260.465131,121,3.072443
258.071567,120,3.129811
260.811215,121,3.187678
260.725752,121,3.245277
258.699499,120,3.302562
265.161687,124,3.361632
261.688995,122,3.419811
268.627229,126,3.480197
255.257235,118,3.537089
260.704177,122,3.595062
257.094995,120,3.65243
257.338075,120,3.710157
255.903878,119,3.767269
261.127286,122,3.825894
254.369433,118,3.882707
267.04109,126,3.943338
257.662605,120,4.001016
261.29793,122,4.058821
251.483381,116,4.11487
261.472066,122,4.173545
263.772936,124,4.23323
263.556574,123,4.292406
252.968951,117,4.348716
267.754721,126,4.409119
263.463349,123,4.467985
264.536231,124,4.526923
253.214736,117,4.582684
261.766083,122,4.641295
255.27223,118,4.698678
262.271185,122,4.757233
266.994651,125,4.817336
259.045861,120,4.875003
267.223747,125,4.935464
263.16978,123,4.994152
260.506803,121,5.052914
256.108866,118,5.110043
257.918241,120,5.167579
264.175434,123,5.225743
255.729148,119,5.282672
266.136538,125,5.342548
257.63502,120,5.400005
263.694434,124,5.459514
270.094718,128,5.520659
264.58723,124,5.579706
264.297229,124,5.638998
255.966193,119,5.695924
273.604989,130,5.758015
270.193303,128,5.81928
260.818615,122,5.96126
265.747851,124,6.020639
261.365568,122,6.079284
257.769003,120,6.13689
266.698056,126,6.197742
256.330592,119,6.25476
264.439762,124,6.314581
266.408343,125,6.373666
262.547539,123,6.431805
262.630078,123,6.490782
