#{"t_start": 1654160064.3953052, "env_id": "Walker2d-v3"}
r,l,t
87.159949,62,0.030475
492.920789,295,0.174118
770.205622,358,0.347006
823.424699,514,0.593173
111.11047,89,0.634769
602.121452,296,0.779613
113.280234,86,0.823117
402.270192,214,0.924797
314.67159,162,1.002596
391.328227,211,1.109916
96.044093,240,1.227914
106.264676,152,1.312434
423.986361,256,1.429182
96.666804,223,1.533052
124.704752,109,1.583822
130.531139,133,1.645317
393.432792,394,1.828547
42.638173,184,1.914467
36.246117,202,2.008739
699.886913,614,2.295507
297.128213,152,2.366534
159.623263,138,2.430866
248.596006,130,2.491559
500.103131,199,2.584273
485.599105,211,2.680973
544.698101,241,2.793153
389.642928,182,2.878149
334.980528,174,2.958634
277.029284,167,3.036646
184.665767,164,3.112691
959.772594,508,3.349787
245.966591,121,3.405889
507.453816,417,3.600057
159.063495,233,3.708153
582.297352,290,3.843282
46.884732,66,3.874538
335.043758,170,3.953104
269.934592,127,4.012252
523.415496,305,4.154083
567.222436,221,4.256109
285.171797,223,4.360355
588.12801,420,4.557513
30.505972,64,4.58784
118.722133,128,4.646953
1112.142484,1000,5.130713
935.299446,1000,5.614068
544.221286,322,5.763329
992.034962,1000,6.250633
60.069931,76,6.286256
94.89443,163,6.362305
51.094312,53,6.387682
38.617279,49,6.410977
42.016586,50,6.434669
52.262632,53,6.459704
47.695131,55,6.485386
37.343964,49,6.508609
52.182976,55,6.534695
673.63451,294,6.671573
43.601047,50,6.695317
43.6309,52,6.719999
402.969692,225,6.824604
335.881951,149,6.893294
382.390303,158,6.965981
599.522052,292,7.10115
61.317253,81,7.139026
297.809921,153,7.209454
376.551807,213,7.307746
386.585645,330,7.460064
523.009598,315,7.60542
488.030435,266,7.727936
139.132496,211,7.825255
374.69464,149,7.894205
32.031146,57,7.920873
681.334646,288,8.054214
332.892393,153,8.124772
483.03883,191,8.213215
1093.219207,790,8.586768
1147.268654,1000,9.055403
500.48602,191,9.144231
1008.88305,1000,9.628942
758.573708,326,9.806749
253.184457,162,9.883832
-15.025769,117,9.938744
850.13089,383,10.120055
398.707736,168,10.199646
367.560711,195,10.291942
405.988752,141,10.35865
2.930443,228,10.465449
994.474645,1000,10.957697
311.900793,403,11.148474
38.543703,66,11.179688
361.93025,203,11.275198
487.780769,304,11.416784
196.642487,171,11.496689
1164.349731,586,11.769543
172.424826,161,11.844971
414.949232,198,11.936098
1714.379708,1000,12.403344
568.46182,258,12.523426
356.39623,209,12.621697
509.423313,228,12.804697
461.321586,221,12.908265
456.617297,209,13.005338
1928.542791,871,13.410171
527.654523,243,13.523149
371.1478,175,13.603959
408.428141,193,13.692581
384.164152,234,13.801317
963.285182,645,14.09958
595.946749,322,14.248359
